"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.020819986E1,6.502527306E1,2.548377030E1,8.511599323E0,1.115321666E0,1.098756939E2,4.881815856E0,4.053074550E0
8.120819855E1,6.502527947E1,2.548380343E1,8.950426348E0,1.125647536E0,9.946991675E1,4.804074641E0,4.043521064E0
8.220819914E1,6.502528324E1,2.548383812E1,9.490260958E0,1.108435794E0,8.126380322E1,4.734635129E0,3.993356236E0
8.320819914E1,6.502527914E1,2.548388407E1,9.348272559E0,1.198140077E0,9.163939724E1,4.691604908E0,3.976162458E0
8.420819950E1,6.502527739E1,2.548393018E1,9.134320395E0,1.108426050E0,9.326421488E1,4.700680861E0,4.026789746E0
8.520819902E1,6.502526896E1,2.548396779E1,8.997311886E0,1.379731507E0,9.635362695E1,4.712549016E0,4.051076634E0
8.620819986E1,6.502526698E1,2.548400105E1,8.282648120E0,1.265133124E0,9.357782537E1,4.663813112E0,3.709109960E0
8.720819843E1,6.502526261E1,2.548403957E1,8.526893983E0,1.462369143E0,9.087113914E1,4.587398151E0,3.669418955E0
8.820819843E1,6.502525763E1,2.548407256E1,7.931265149E0,1.154522232E0,8.857825111E1,4.587016437E0,3.900561714E0
8.920819914E1,6.502526174E1,2.548409877E1,6.951030990E0,8.251719747E-1,5.853709353E1,4.636991681E0,3.823974958E0
9.020819819E1,6.502526375E1,2.548412108E1,6.771437772E0,8.334716902E-1,7.612357894E1,4.588892356E0,3.473265233E0
9.120819938E1,6.502525795E1,2.548415282E1,6.644754081E0,1.062522284E0,1.078168067E2,4.549912362E0,3.616309238E0
9.220819867E1,6.502525392E1,2.548418462E1,6.269925183E0,1.070844321E0,1.078638192E2,4.503601998E0,3.612715601E0
9.320819879E1,6.502525068E1,2.548422469E1,6.310297860E0,1.380599294E0,1.011816981E2,4.501983140E0,3.479895965E0
9.420819902E1,6.502525664E1,2.548426210E1,6.172433057E0,1.518038214E0,8.598524268E1,4.529326840E0,3.450876259E0
9.520819890E1,6.502525769E1,2.548429542E1,6.568081701E0,1.162597640E0,9.536440429E1,4.523018726E0,3.707120333E0
9.620819890E1,6.502525449E1,2.548434819E1,6.199297157E0,1.400893217E0,8.952957486E1,4.507535571E0,3.592026300E0
9.720819819E1,6.502524950E1,2.548438088E1,5.890557937E0,1.457006575E0,9.201491536E1,4.466857490E0,3.817062614E0
9.820819831E1,6.502525538E1,2.548440495E1,6.323453653E0,1.187265154E0,9.427419758E1,4.455181613E0,4.026868114E0
9.920819902E1,6.502525113E1,2.548444139E1,6.612593454E0,1.136871586E0,8.785536686E1,4.388836155E0,3.923294001E0
1.002081985E2,6.502525809E1,2.548447529E1,7.025286891E0,1.110382625E0,8.559793261E1,4.401594270E0,3.855290751E0
1.012081993E2,6.502525073E1,2.548451062E1,7.110668601E0,1.168872800E0,1.041889662E2,4.350618113E0,3.819562177E0
1.022081980E2,6.502525414E1,2.548454364E1,7.210374849E0,1.157856533E0,9.187058497E1,4.344030717E0,3.766768961E0
1.032081985E2,6.502525889E1,2.548457940E1,7.543294231E0,1.164104997E0,9.297995181E1,4.344426314E0,3.765528890E0
1.042081983E2,6.502526255E1,2.548461302E1,6.994661621E0,1.100248049E0,1.048013740E2,4.389126937E0,3.754048731E0
1.052081983E2,6.502526754E1,2.548464218E1,6.451658317E0,1.028809855E0,1.081714331E2,4.430860960E0,3.715047589E0
1.062081987E2,6.502527384E1,2.548468342E1,6.775527569E0,1.149824429E0,9.881249416E1,4.417560525E0,3.726599344E0
1.072081982E2,6.502527691E1,2.548473133E1,7.732712920E0,1.698239580E0,8.423977355E1,4.436971395E0,3.511952615E0
1.082081988E2,6.502527448E1,2.548476098E1,7.722468474E0,1.588156225E0,9.235737501E1,4.393694085E0,3.676181928E0
1.092081983E2,6.502527588E1,2.548479058E1,8.003698860E0,1.103912931E0,1.042034717E2,4.440764955E0,3.684804349E0
1.102081982E2,6.502527390E1,2.548482225E1,7.269988939E0,1.095059739E0,1.044114975E2,4.511573047E0,3.755786776E0
1.112081987E2,6.502527214E1,2.548486521E1,7.513896402E0,1.155965311E0,9.022886989E1,4.491823905E0,3.813691324E0
1.122081988E2,6.502526409E1,2.548489588E1,7.092408814E0,1.175787298E0,9.072582431E1,4.477793530E0,3.809549467E0
1.132081987E2,6.502525816E1,2.548492638E1,6.262227562E0,1.301027476E0,1.016899318E2,4.480588252E0,3.523867990E0
1.142081981E2,6.502525150E1,2.548496165E1,5.709480875E0,1.157975399E0,9.457898261E1,4.458205492E0,3.744226404E0
1.152081984E2,6.502525015E1,2.548501304E1,5.621641593E0,1.689523678E0,1.000095360E2,4.462139659E0,3.707590018E0
1.162081982E2,6.502524787E1,2.548503407E1,5.388804088E0,1.125804807E0,9.940174821E1,4.444783317E0,3.771669758E0
1.172081985E2,6.502524798E1,2.548506548E1,5.010669374E0,1.127189881E0,9.013159491E1,4.410798228E0,3.704051627E0
1.182081984E2,6.502524417E1,2.548509928E1,4.806264922E0,1.123791712E0,1.012295440E2,4.488054002E0,3.751486566E0
1.192081976E2,6.502524786E1,2.548514882E1,4.808494555E0,1.442057578E0,9.650000114E1,4.486233386E0,3.716571846E0
1.202081982E2,6.502524252E1,2.548517851E1,4.954023252E0,1.160643836E0,1.033005339E2,4.493445248E0,3.754957050E0
1.212081982E2,6.502524537E1,2.548521921E1,5.051277645E0,1.184844447E0,9.123341373E1,4.487190886E0,3.766169347E0
1.222081981E2,6.502524430E1,2.548525690E1,5.072989160E0,1.310123421E0,9.242276974E1,4.482630786E0,3.512184354E0
1.232081980E2,6.502524252E1,2.548530108E1,4.888739849E0,1.548787338E0,9.421463314E1,4.481347006E0,3.497154021E0
1.242081985E2,6.502524363E1,2.548533519E1,4.627004934E0,1.421747262E0,1.001117308E2,4.511856434E0,3.508211907E0
1.252081983E2,6.502524652E1,2.548536775E1,4.308857185E0,1.191023873E0,9.689306428E1,4.516879238E0,3.916713715E0
1.262081976E2,6.502524315E1,2.548540145E1,4.545670911E0,1.155828096E0,1.037449622E2,4.587377797E0,3.978964653E0
1.272081977E2,6.502524373E1,2.548543631E1,4.405598387E0,1.161238857E0,9.637769752E1,4.589727827E0,3.786238523E0
1.282081970E2,6.502524393E1,2.548547056E1,4.360572455E0,1.115284046E0,8.688034309E1,4.623273233E0,3.785621569E0
1.292081977E2,6.502524490E1,2.548550435E1,4.995692681E0,1.102528403E0,9.240068139E1,4.662538278E0,3.770283902E0
1.302081980E2,6.502523936E1,2.548553861E1,5.068195088E0,1.170903116E0,9.796625693E1,4.742616128E0,3.875420185E0
1.312081982E2,6.502524309E1,2.548556698E1,5.208947471E0,1.092186561E0,9.466256328E1,4.678635329E0,3.870213701E0
1.322082123E2,6.502525460E1,2.548560381E1,5.461209230E0,1.165028752E0,8.963780880E1,4.669337903E0,3.950499776E0
1.332082199E2,6.502526171E1,2.548563587E1,5.130199733E0,1.173853643E0,9.457582874E1,4.647189260E0,4.055997585E0
1.342082212E2,6.502526410E1,2.548566973E1,5.381490333E0,1.165266507E0,1.041828757E2,4.634771292E0,4.040958003E0
1.352082205E2,6.502525892E1,2.548570748E1,4.947199652E0,1.479841697E0,1.043365847E2,4.620838609E0,3.980406416E0
1.362082211E2,6.502525933E1,2.548573354E1,4.741913073E0,1.090978912E0,1.097661474E2,4.632196073E0,3.966072307E0
1.372082220E2,6.502526073E1,2.548577860E1,5.368871564E0,1.446827427E0,9.341330306E1,4.603389124E0,3.961965973E0
1.382082249E2,6.502526157E1,2.548581893E1,5.417626959E0,1.396311816E0,9.515876959E1,4.651193758E0,4.040850533E0
1.392082274E2,6.502526949E1,2.548587657E1,6.235654158E0,1.613841249E0,9.219860050E1,4.645183062E0,3.968839120E0
1.402082289E2,6.502525925E1,2.548589993E1,5.541525144E0,1.120881581E0,9.045069325E1,4.630018358E0,4.042338932E0
1.412082279E2,6.502525377E1,2.548594741E1,5.247020042E0,1.185332693E0,9.138650622E1,4.682706564E0,4.046056374E0
1.422082319E2,6.502524785E1,2.548599125E1,5.120793582E0,1.472884101E0,9.801147318E1,4.673412750E0,3.685416521E0
1.432082355E2,6.502524836E1,2.548602575E1,4.797299100E0,1.108562398E0,9.013757828E1,4.686695757E0,3.957203369E0
1.442082449E2,6.502524235E1,2.548605895E1,4.762116126E0,1.168806250E0,1.022967338E2,4.647955013E0,3.916923032E0
1.452082424E2,6.502524013E1,2.548610511E1,4.726409250E0,1.189916841E0,1.050663195E2,4.660793123E0,3.869202975E0
1.462082438E2,6.502524030E1,2.548613864E1,4.676991230E0,1.150872664E0,9.545151834E1,4.601387732E0,3.844673373E0
1.472082460E2,6.502523558E1,2.548617088E1,5.227318116E0,1.174942197E0,9.302667795E1,4.561443101E0,3.749975911E0
1.482082479E2,6.502523507E1,2.548619419E1,4.782384024E0,1.144169243E0,9.144537958E1,4.524823540E0,3.740791546E0
1.492082496E2,6.502523224E1,2.548622388E1,4.087882048E0,1.139731420E0,9.279432438E1,4.551970711E0,3.680287875E0
1.502082509E2,6.502522925E1,2.548626544E1,3.665086109E0,1.490156662E0,9.851802764E1,4.534091132E0,3.614827973E0
1.512082518E2,6.502523123E1,2.548630162E1,3.784179959E0,1.606883647E0,9.232247483E1,4.499207148E0,3.734800705E0
1.522082540E2,6.502523116E1,2.548632562E1,3.363409808E0,1.233194499E0,9.036416389E1,4.454685162E0,3.530246437E0
1.532082543E2,6.502522800E1,2.548636798E1,3.247660709E0,1.564186507E0,9.644111349E1,4.456946240E0,3.208899742E0
1.542082559E2,6.502522845E1,2.548640939E1,3.517984628E0,1.592774311E0,9.324820922E1,4.470677636E0,3.221838479E0
1.552082571E2,6.502522605E1,2.548643508E1,3.373462086E0,1.385159288E0,9.441857434E1,4.490123106E0,3.393105353E0
1.562082589E2,6.502522758E1,2.548647219E1,3.210534767E0,1.290191962E0,9.585296029E1,4.505906651E0,3.185989679E0
1.572082593E2,6.502523352E1,2.548650523E1,3.210500688E0,1.166520973E0,9.025933407E1,4.524595699E0,3.389303362E0
1.582082604E2,6.502523575E1,2.548653899E1,3.328160898E0,1.179519779E0,9.251760720E1,4.551229168E0,3.381963007E0
1.592082613E2,6.502523863E1,2.548656979E1,3.467126722E0,1.175427380E0,9.845131411E1,4.601345761E0,3.368584886E0
1.602082627E2,6.502524150E1,2.548660216E1,3.634306206E0,1.160147012E0,9.808116365E1,4.652159995E0,3.390947987E0
1.612082624E2,6.502523805E1,2.548662967E1,3.350697396E0,1.100729359E0,1.072870139E2,4.694197455E0,3.393363333E0
1.622082634E2,6.502523916E1,2.548667834E1,3.695010141E0,1.407814216E0,9.556711298E1,4.835751578E0,3.207557591E0
1.632082638E2,6.502524070E1,2.548671027E1,3.561075073E0,1.169010701E0,9.210277127E1,4.917007100E0,3.513821576E0
1.642082655E2,6.502524547E1,2.548676113E1,3.764549521E0,1.634301277E0,9.479663315E1,4.854608503E0,3.271775177E0
1.652082661E2,6.502524708E1,2.548679911E1,3.924416503E0,1.199774223E0,8.907497278E1,4.869717225E0,3.533464739E0
1.662082663E2,6.502524838E1,2.548683991E1,3.614937929E0,1.116644325E0,8.047036963E1,4.877055549E0,3.588778577E0
1.672082663E2,6.502524942E1,2.548687812E1,3.991167741E0,1.537678050E0,8.446511108E1,4.876896014E0,3.584681082E0
1.682082671E2,6.502524253E1,2.548691549E1,3.945548464E0,1.517990737E0,9.046413148E1,4.849458940E0,3.348089973E0
1.692082682E2,6.502523901E1,2.548695988E1,4.026490443E0,1.530220064E0,9.210463394E1,4.838821901E0,3.296850548E0
1.702082685E2,6.502523969E1,2.548699141E1,3.916983818E0,1.177117794E0,9.280515897E1,4.796567372E0,3.520667673E0
